id,user_input,uri,doi,title,authors,year,citations_gs,citations_wos
3810,,,10.1016/j.nbd.2006.04.001,Kinase activity is required for the toxic effects of mutant LRRK2/dardarin,"Greggio, Elisa; Jain, Shushant; Kingsbury, Ann; Bandopadhyay, Rina; Lewis, Patrick; Kaganovich, Alice; van der Brug, Marcel P.; Beilina, Alexandra; Blackinton, Jeff; Thomas, Kelly Jean; Ahmad, Rill; Miller, David W.; Kesavapany, Sashi; Singleton, Andrew; Lees, Andrew; Harvey, Robert J.; Harvey, Kirsten; Cookson, Mark R.",2006,,360
3811,,,10.1002/mds.21832,The G2019S LRRK2 mutation in Brazilian patients with Parkinson's disease: Phenotype in monozygotic twins,"Munhoz, Renato P.; Wakutani, Yosuke; Marras, Connie; Teive, Helio A.; Raskin, Salmo; Werneck, Lineu C.; Moreno, Danielle; Sato, Christine; Lang, Anthony E.; Rogaeva, Ekaterina",2008,,13
3812,,,10.1002/ana.20731,Lrrk2 and Lewy body disease,"Ross, OA; Toft, M; Whittle, AJ; Johnson, JL; Papapetropoulos, S; Mash, DC; Litvan, None; Gordon, MF; Wszolek, ZK; Farrer, MJ; Dickson, DW",2006,,151
3813,,,10.1016/s0140-6736(05)17830-1,Common LRRK2 mutation in idiopathic Parkinson's disease,"Gilks, WP; Abou-Sleiman, PM; Gandhi, S; Jain, S; Singleton, A; Lees, AJ; Shaw, K; Bhatia, KP; Bonifati, None; Quinn, NP; Lynch, J; Healy, DG; Holton, JL; Revesz, T; Wood, NW",2005,,429
3814,,,10.1083/jcb.143.2.443,"Suppression of radixin and moesin alters growth cone morphology, motility, and process formation in primary cultured neurons","Paglini, G; Kunda, P; Quiroga, S; Kosik, K; Caceres, A",1998,,120
3815,,,10.1016/s1474-4422(08)70116-9,LRRK2 Gly2019Ser penetrance in Arab-Berber patients from Tunisia: a case-control genetic study,"Hulihan, Mary M.; Ishihara-Paul, Lianna; Kochergus, Jennifer; Warren, Liling; Amouri, Rim; Elango, Ramu; Prinjha, Rab K.; Upmanyu, Ruchi; Kefi, Mounir; Zouari, Mourad; Ben Sassi, Samia; Ben Yahmed, Samia; El Euch-Fayeche, Ghada; Matthews, Paul M.; Middleton, Lefkos T.; Gibson, Rachel A.; Hentati, Faycal; Farrer, Matthew J.",2008,,78
3816,,,10.1016/j.bbrc.2007.04.006,The R1441C mutation of LRRK2 disrupts GTP hydrolysis,"Lewis, Patrick A.; Greggio, Elisa; Beilina, Alexandra; Jain, Shushant; Baker, Acacia; Cookson, Mark R.",2007,,138
3817,,,10.1016/j.parkreldis.2008.07.010,Familial parkinsonism: Study of original Sagamihara PARK8 (I2020T) kindred with variable clinicopathologic outcomes,"Hasegawa, Kazuko; Stoessl, A. Jon; Yokoyama, Teruo; Kowa, Hisayuki; Wszolek, Zbigniew K.; Yagishita, Saburo",2009,,27
3818,,,10.1007/s10048-008-0162-0,"LRRK2 G2019S and R1441G mutations associated with Parkinson's disease are common in the Basque Country, but relative prevalence is determined by ethnicity","Gorostidi, A.; Ruiz-Martinez, J.; Lopez de Munain, A.; Alzualde, A.; Masso, J. F. Marti",2009,,30
3819,,,10.1002/ajmg.b.30923,LRRK2 G2385R Modulates Age at Onset in Parkinson's Disease: A Multi-Center Pooled Analysis,"Tan, E. K.; Peng, R.; Wu, Y. R.; Wu, R. M.; Wu-Chou, Y. H.; Tan, L. C.; An, X. K.; Chen, C. M.; Fook-Chong, S.; Lu, C. S.",2009,,13
3820,,,10.1038/nn1776,Kinase activity of mutant LRRK2 mediates neuronal toxicity,"Smith, Wanli W.; Pei, Zhong; Jiang, Haibing; Dawson, Valina L.; Dawson, Ted M.; Ross, Christopher A.",2006,,364
3821,,,10.1093/molbev/msl114,The Parkinson disease gene LRRK2: Evolutionary and structural insights,"Marin, Ignacio",2006,,99
3822,,,10.1111/j.1471-4159.2007.04523.x,Mutations in LRRK2/dardarin associated with Parkinson disease are more toxic than equivalent mutations in the homologous kinase LRRK1,"Greggio, Elisa; Lewis, Patrick A.; van der Brug, Marcel P.; Ahmad, Rili; Kaganovich, Alice; Ding, Jinhui; Beilina, Alexandra; Baker, Acacia K.; Cookson, Mark R.",2007,,58
3823,,,10.1523/jneurosci.5175-08.2009,The Parkinson Disease Protein Leucine-Rich Repeat Kinase 2 Transduces Death Signals via Fas-Associated Protein with Death Domain and Caspase-8 in a Cellular Model of Neurodegeneration,"Ho, Cherry Cheng-Ying; Rideout, Hardy J.; Ribe, Elena; Troy, Carol M.; Dauer, William T.",2009,,79
3824,,,10.1145/1216895.1216896,Properties and Mechanisms of Self-Organizing MANET and P2P Systems,"Biskupski, Bartosz; Dowling, Jim; Sacha, Jan",2007,,17
3825,,,10.1093/hmg/ddm151,Mechanistic insight into the dominant mode of the Parkinson's disease-associated G2019S LRRK2 mutation,"Luzon-Toro, Berta; de la Torre, Elena Rubio; Delgado, Asuncion; Perez-Tur, Jordi; Hilfiker, Sabine",2007,,71
3826,,,10.1001/archneur.63.9.1242,Clinical heterogeneity of the LRRK2 G2019S mutation,"Papapetropoulos, Spiridon; Singer, Carlos; Ross, Owen A.; Toft, Mathias; Johnson, Joseph L.; Farrer, Matthew J.; Mash, Deborah C.",2006,,21
3827,,,10.1093/hmg/ddm013,Leucine-rich repeat kinase 2 associates with lipid rafts,"Hatano, Taku; Kubo, Shin-ichiro; Imai, Satoshi; Maeda, Masahiro; Ishikawa, Kiyoshi; Mizuno, Yoshikuni; Hattori, Nobutaka",2007,,108
3828,,,10.1002/ana.10795,"The new mutation, E46K, of alpha-synuclein causes Parkinson and Lewy body dementia","Zarranz, JJ; Alegre, J; Gomez-Esteban, JC; Lezcano, E; Ros, R; Ampuero, None; Vidal, L; Hoenicka, J; Rodriguez, O; Atares, B; Llorens, None; Tortosa, EG; del Ser, T; Munoz, DG; de Yebenes, JG",2004,,1331
3829,,,10.1038/emboj.2008.163,Phosphorylation of 4E-BP by LRRK2 affects the maintenance of dopaminergic neurons in Drosophila,"Imai, Yuzuru; Gehrke, Stephan; Wang, Hua-Qin; Takahashi, Ryosuke; Hasegawa, Kazuko; Oota, Etsuro; Lu, Bingwei",2008,,240
3830,,,10.1111/j.1471-4159.2007.04743.x,Leucine-rich repeat kinase 2 (LRRK2)/PARK8 possesses GTPase activity that is altered in familial Parkinson's disease R1441C/G mutants,"Li, Xianting; Tan, Yin-Cai; Poulose, Shibu; Olanow, C. Warren; Huang, Xin-Yun; Yue, Zhenyu",2007,,143
3831,,,10.1212/01.wnl.0000304044.22253.03,Lrrk2 R1441C parkinsonism is clinically similar to sporadic Parkinson disease,"Haugarvoll, K.; Rademakers, R.; Kachergus, J. M.; Nuytemans, K.; Ross, O. A.; Gibson, J. M.; Tan, E. -K.; Gaig, C.; Tolosa, E.; Goldwurm, S.; Guidi, M.; Riboldazzi, G.; Brown, L.; Walter, U.; Benecke, R.; Berg, D.; Gasser, T.; Theuns, J.; Pals, P.; Cras, P.; De Deyn, P. Paul; Engelborghs, S.; Pickut, B.; Uitti, R. J.; Foroud, T.; Nichols, W. C.; Hagenah, J.; Klein, C.; Samii, A.; Zabetian, C. P.; Bonifati, V.; Van Broeckhoven, C.; Farrer, M. J.; Wszolek, Z. K.",2008,,63
3832,,,10.1042/bj20070209,LRRK2 phosphorylates moesin at threonine-558: characterization of how Parkinson's disease mutants affect kinase activity,"Jaleel, Mahaboobi; Nichols, R. Jeremy; Deak, Maria; Campbell, David G.; Gillardon, Frank; Knebel, Axel; Alessi, Dario R.",2007,,276
3833,,,10.1096/fj.08-111310,The Roco protein family: a functional perspective,"Marin, Ignacio; van Egmond, Wouter N.; van Haastert, Peter J. M.",2008,,66
3834,,,10.1016/j.yexcr.2007.07.007,"The Parkinson's disease-associated protein, leucine-rich repeat kinase 2 (LRRK2), is an authentic GTPase that stimulates kinase activity","Guo, Luxuan; Gandhi, Payal N.; Wang, Wen; Petersen, Robert B.; Wilson-Delfosse, Amy L.; Chen, Shu G.",2007,,119
3835,,,10.1016/j.parkreldis.2007.01.008,Identification of potential protein interactors of Lrrk2,"Daechsel, Justus C.; Taylor, Julie P.; Mok, Su San; Ross, Owen A.; Hinkle, Kelly M.; Bailey, Rachel M.; Hines, Jacob H.; Szutu, Jennifer; Madden, Benjamin; Petrucelli, Leonard; Farrer, Matthew J.",2007,,47
3836,,,10.1159/000113460,"Autosomal dominant familial Parkinson disease: Older onset of age, and good response to levodopa therapy","Hasegawa, K; Kowa, H",1997,,32
3837,,,10.1016/j.nbd.2008.06.016,Wild-type LRRK2 but not its mutant attenuates stress-induced cell death via ERK pathway,"Liou, Anthony K. F.; Leak, Rehana K.; Li, Lihua; Zigmond, Michael J.",2008,,55
3838,,,10.1016/j.neuroscience.2007.05.027,A comparative analysis of leucine-rich repeat kinase 2 (Lrrk2) expression in mouse brain and Lewy body disease,"Melrose, H. L.; Kent, C. B.; Taylor, J. P.; Dachsel, J. C.; Hinkle, K. M.; Lincoln, S. J.; Mok, S. S.; Culvenor, J. G.; Masters, C. L.; Tyndall, G. M.; Bass, D. I.; Ahmed, Z.; Andorfer, C. A.; Ross, O. A.; Wszolek, Z. K.; Delldonne, A.; Dickson, D. W.; Farrer, M. J.",2007,,72
3839,,,10.1002/jnr.21622,The Roc domain of leucine-rich repeat kinase 2 is sufficient for interaction with microtubules,"Gandhi, Payal N.; Wang, Xinglong; Zhu, Xiongwei; Chen, Shu. G.; Wilson-Delfosse, Amy L.",2008,,101
3840,,,10.1016/j.yexcr.2008.02.015,LRRK2 regulates synaptic vesicle endocytosis,"Shin, Narae; Jeong, Hyerhan; Kwon, Jungsun; Heo, Hye Young; Kwon, Jung June; Yun, Hye Jin; Kim, Cy-Hyun; Han, Baek Soo; Tong, Youren; Shen, Jie; Hatano, Taku; Hattori, Nobutaka; Kim, Kwang-Soo; Chang, Sunghoe; Seol, Wongi",2008,,147
3841,,,10.1093/hmg/ddi439,The Parkinson disease causing LRRK2 mutation I2020T is associated with increased kinase activity,"Gloeckner, CJ; Kinkl, N; Schumacher, A; Braun, RJ; O'Neill, E; Meitinger, T; Kolch, W; Prokisch, H; Ueffing, M",2006,,285
3842,,,10.1002/mds.20618,Escaping Parkinson's disease: A neurologically healthy octogenarian with the LRRK2 G2019S mutation,"Kay, DM; Kramer, P; Higgins, D; Zabetian, CP; Payami, H",2005,,58
3843,,,,Apoptotic mechanisms in mutant LRRK2-mediated cell death,"Vitale, C.; Iaccarino, C.; Crosio, C.; Sanna, G.; Carri, M. T.; Barone, P.",2007,,0
3844,,,10.1212/01.wnl.0000239829.33936.73,LRRK2 mutations on Crete: R1441H associated with PD evolving to PSP,"Spanaki, Cleanthe; Latsoudis, Helen; Plaitakis, Andreas",2006,,32
3845,,,10.1016/j.parkreldis.2008.09.001,Haplotype analysis of Lrrk2 R1441H carriers with parkinsonism,"Ross, Owen A.; Spanaki, Cleanthe; Griffith, Alida; Lin, Chin-Hsien; Kachergus, Jennifer; Haugarvoll, Kristoffer; Latsoudis, Helen; Plaitakis, Andreas; Ferreira, Joaquim J.; Sampaio, Cristina; Bonifati, Vincenzo; Wu, Ruey-Meei; Zabetian, Cyrus P.; Farrer, Matthew J.",2009,,20
3846,,,10.1038/nature05610,Patterns of somatic mutation in human cancer genomes,"Greenman, Christopher; Stephens, Philip; Smith, Raffaella; Dalgliesh, Gillian L.; Hunter, Christopher; Bignell, Graham; Davies, Helen; Teague, Jon; Butler, Adam; Edkins, Sarah; O'Meara, Sarah; Vastrik, Imre; Schmidt, Esther E.; Avis, Tim; Barthorpe, Syd; Bhamra, Gurpreet; Buck, Gemma; Choudhury, Bhudipa; Clements, Jody; Cole, Jennifer; Dicks, Ed; Forbes, Simon; Gray, Kris; Halliday, Kelly; Harrison, Rachel; Hills, Katy; Hinton, Jon; Jenkinson, Andy; Jones, David; Menzies, Andy; Mironenko, Tatiana; Perry, Janet; Raine, Keiran; Richardson, Dave; Shepherd, Rebecca; Small, Alexandra; Tofts, Calli; Varian, Jennifer; Webb, Tony; West, Sofie; Widaa, Sara; Yates, Andy; Cahill, Daniel P.; Louis, David N.; Goldstraw, Peter; Nicholson, Andrew G.; Brasseur, Francis; Looijenga, Leendert; Weber, Barbara L.; Chiew, Yoke-Eng; deFazio, Anna; Greaves, Mel F.; Green, Anthony R.; Campbell, Peter; Birney, Ewan; Easton, Douglas F.; Chenevix-Trench, Georgia; Tan, Min-Han; Khoo, Sok Kean; Teh, Bin Tean; Yuen, Siu Tsan; Leung, Suet Yi; Wooster, Richard; Futreal, P. Andrew; Stratton, Michael R.",2007,,1510
3847,,,10.1111/j.1471-4159.2008.05217.x,Role of autophagy in G2019S-LRRK2-associated neurite shortening in differentiated SH-SY5Y cells,"Plowey, Edward D.; Cherra, Salvatore J.; Liu, Yong-Jian; Chu, Charleen T.",2008,,261
3848,,,,Identification of a common genetic risk variant (LRRK2 Gly2385Arg) in Parkinson's disease,"Tan, Eng-King",2006,,20
3849,,,10.1097/01.wco.0000186841.43505.e6,How genetics research in Parkinson's disease is enhancing understanding of the common idiopathic forms of the disease,"Cookson, MR; Xiromerisiou, G; Singleton, A",2005,,46
3850,,,10.1186/1741-7015-6-32,The Gly2019Ser mutation in LRRK2 is not fully penetrant in familial Parkinson's disease: the GenePD study,"Latourelle, Jeanne C.; Sun, Mei; Lew, Mark F.; Suchowersky, Oksana; Klein, Christine; Golbe, Lawrence I.; Mark, Margery H.; Growdon, John H.; Wooten, G. Frederick; Watts, Ray L.; Guttman, Mark; Racette, Brad A.; Perlmutter, Joel S.; Ahmed, Anwar; Shill, Holly A.; Singer, Carlos; Goldwurm, Stefano; Pezzoli, Gianni; Zini, Michela; Saint-Hilaire, Marie H.; Hendricks, Audrey E.; Williamson, Sally; Nagle, Michael W.; Wilk, Jemma B.; Massood, Tiffany; Huskey, Karen W.; Laramie, Jason M.; DeStefano, Anita L.; Baker, Kenneth B.; Itin, Ilia; Litvan, Irene; Nicholson, Garth; Corbett, Alastair; Nance, Martha; Drasby, Edward; Isaacson, Stuart; Burn, David J.; Chinnery, Patrick F.; Pramstaller, Peter P.; Al-hinti, Jomana; Moller, Anette T.; Ostergaard, Karen; Sherman, Scott J.; Roxburgh, Richard; Snow, Barry; Slevin, John T.; Cambi, Franca; Gusella, James F.; Myers, Richard H.",2008,,45
3851,,,10.1016/j.bbrc.2007.04.156,Loss of LRRK2/PARK8 induces degeneration of dopaminergic neurons in Drosophila,"Lee, Sung Bae; Kim, Wonho; Lee, Sungkyu; Chung, Jongkyeong",2007,,93
3852,,,10.1007/s00239-008-9122-4,Ancient origin of the Parkinson disease gene LRRK2,"Marin, Ignacio",2008,,29
3853,,,10.1016/j.neulet.2005.10.083,LRRK2 G2019S is a common mutation in Spanish patients with late-onset Parkinson's disease,"Infante, J; Rodriguez, E; Combarros, O; Mateo, None; Fontalba, A; Pascual, J; Oterino, A; Polo, JM; Leno, C; Berciano, J",2006,,44
3854,,,10.1093/hmg/ddl471,Parkinson's disease-associated mutations in LRRK2 link enhanced GTP-binding and kinase activities to neuronal toxicity,"West, Andrew B.; Moore, Darren J.; Choi, Catherine; Andrabi, Shaida A.; Li, Xiaojie; Dikeman, Dustin; Biskup, Saskia; Zhang, Zhenshui; Lim, Kah-Leong; Dawson, Valina L.; Dawson, Ted M.",2007,,295
3855,,,10.1109/tns.2010.2044048,CoRoT Satellite: Analysis of the In-Orbit CCD Dark Current Degradation,"Gilard, Olivier; Boatella-Polo, Cesar; Dolado-Perez, Juan-Carlos; Auvergne, Michel; Quadri, Gianandrea; Boutillier, Mathieu",2010,,4
3856,,,10.1117/12.2230828,Back-illuminated large area frame transfer CCDs for space-based hyperspectral imaging applications,"Philbrick, Robert H.; Gilmore, Angelo S.; Schrein, Ronald J.",2016,,0
3857,,,10.1051/0004-6361/200810860,The CoRoT satellite in flight: description and performance,"Auvergne, M.; Bodin, P.; Boisnard, L.; Buey, J. -T.; Chaintreuil, S.; Epstein, G.; Jouret, M.; Lam-Trong, T.; Levacher, P.; Magnan, A.; Perez, R.; Plasson, P.; Plesseria, J.; Peter, G.; Steller, M.; Tiphene, D.; Baglin, A.; Agogue, P.; Appourchaux, T.; Barbet, D.; Beaufort, T.; Bellenger, R.; Berlin, R.; Bernardi, P.; Blouin, D.; Boumier, P.; Bonneau, F.; Briet, R.; Butler, B.; Cautain, R.; Chiavassa, F.; Costes, V.; Cuvilho, J.; Cunha-Parro, V.; Fialho, F. De Oliveira; Decaudin, M.; Defise, J. -M.; Djalal, S.; Docclo, A.; Drummond, R.; Dupuis, O.; Exil, G.; Faure, C.; Gaboriaud, A.; Gamet, P.; Gavalda, P.; Grolleau, E.; Gueguen, L.; Guivarc'h, V.; Guterman, P.; Hasiba, J.; Huntzinger, G.; Hustaix, H.; Imbert, C.; Jeanville, G.; Johlander, B.; Jorda, L.; Journoud, P.; Karioty, F.; Kerjean, L.; Lafond, L.; Lapeyrere, V.; Landiech, P.; Larque, T.; Laudet, P.; Le Merrer, J.; Leporati, L.; Leruyet, B.; Levieuge, B.; Llebaria, A.; Martin, L.; Mazy, E.; Mesnager, J. -M.; Michel, J. -P.; Moalic, J. -P.; Monjoin, W.; Naudet, D.; Neukirchner, S.; Nguyen-Kim, K.; Ollivier, M.; Orcesi, J. -L.; Ottacher, H.; Oulali, A.; Parisot, J.; Perruchot, S.; Piacentino, A.; da Silva, L. Pinheiro; Platzer, J.; Pontet, B.; Pradines, A.; Quentin, C.; Rohbeck, U.; Rolland, G.; Rollenhagen, F.; Romagnan, R.; Russ, N.; Samadi, R.; Schmidt, R.; Schwartz, N.; Sebbag, I.; Smit, H.; Sunter, W.; Tello, M.; Toulouse, P.; Ulmer, B.; Vandermarcq, O.; Vergnault, E.; Wallner, R.; Waultier, G.; Zanatta, P.",2009,,252
3858,,,10.1063/1.4934931,Dose rate effects on array CCDs exposed by Co-60 gamma rays induce saturation output degradation and annealing tests,"Wang, Zujun; Chen, Wei; He, Baoping; Yao, Zhibin; Xiao, Zhigang; Sheng, Jiangkun; Liu, Minbo",2015,,0
3859,,,10.1117/12.391730,Development of hybrid CMOS visible focal plane arrays at Rockwell,"Bai, Y; Montroy, JT; Blackwell, JD; Farris, M; Kozlowski, LJ; Vural, K",2000,,12
3860,,,10.1117/12.552051,Expected effects of hot CCD pixels on detection of transits of extra-solar planets with the Kepler Mission,"Gautier, TN; Gilliland, R",2004,,0
3861,,,10.1007/s11214-010-9697-0,High-Definition Television System Onboard Lunar Explorer Kaguya (SELENE) and Imaging of the Moon and the Earth,"Yamazaki, Junichi; Mitsuhashi, Seiji; Yamauchi, Masahito; Tachino, Junichi; Honda, Rie; Shirao, Motomaro; Tanimoto, Kazuo; Tanaka, Hiroyuki; Harajima, Nobuaki; Omori, Asako; Yahagi, Satoshi; Kanayama, Shigehiro; Iijima, Yuichi; Ohtake, Hisashi",2010,,1
3862,,,10.1080/02533839.2003.9670801,Tracking the radiometric performance of the rocsat-1 ocean color imager,"Lin, WS; Sung, WH",2003,,0
3863,,,10.1109/tns.2002.1003673,Modeling the impact of preflushing on CTE in proton irradiated CCD-based detectors,"Philbrick, RH",2002,,7
3864,,,10.1109/tns.2003.813126,Radiation effects on photonic imagers - A historical perspective,"Pickel, JC; Kalma, AH; Hopkinson, GR; Marshall, CJ",2003,,46
3865,,,10.1007/1-4020-4330-9_21,Radiation damage in HST detectors,"Sirianni, Marco; Mutchler, Max",2006,,3
3866,,,10.1109/melcon.2010.5475896,Radiation Hardness and Application of CCDs as Particle Detectors,"Sopczak, Andre",2010,,0
3867,,,10.1016/s1369-8001(00)00042-1,The impact of high-energy proton irradiation on the low-frequency 1/f noise in FZ-silicon diodes,"Simoen, E; Claeys, C",2000,,1
3868,,,10.1117/12.385432,Total dose effects on CMOS active pixel sensors,"Bogaerts, J; Dierickx, B",2000,,25
3869,,,10.1117/12.391736,GaAs-based CCD structure for MWIR/LWIR imaging applications,"Taylor, GW; Kwan, C; Li, T",2000,,0
3870,,,10.1109/tns.2003.821813,Single particle dark current spikes induced in CCDs by high energy neutrons,"Chugg, AM; Jones, R; Moutrie, MJ; Armstrong, None; King, DBS; Moreau, N",2003,,28
3871,,,10.1109/ted.2008.927662,Influence of terrestrial cosmic rays on the reliability of CCD image sensors - Part 2: Experiments at elevated temperature,"Theuwissen, Albert J. R.",2008,,10
3872,,,10.1109/fed.2007.908906,Influence of terrestrial cosmic rays on the reliability of CCD image sensors - Part 1: Experiments at room temperature,"Theuwissen, Albert J. P.",2007,,18
3873,,,10.1109/23.664167,Charge transfer efficiency in proton damaged CCD's,"Hardy, T; Murowinski, R; Deen, MJ",1998,,56
3874,,,10.1109/23.658968,Total dose testing of a CMOS charged particle spectrometer,"Hancock, BR; Soli, GA",1997,,15
3875,,,10.1063/1.3640411,Detection of atomic and molecular mega-electron-volt projectiles using an x-ray charged coupled device camera,"Chabot, M.; Martinet, G.; Beroff, K.; Pino, T.; Bouneau, S.; Genolini, B.; Grave, X.; Nguyen, K.; le Gailliard, C.; Rosier, P.; Feraud, G.; Friha, H.; Villier, B.",2011,,0
3876,,,10.1029/1999ja000141,On space weather consequences and predictions,"Feynman, J; Gabriel, SB",2000,,85
3877,,,10.1109/23.903793,Proton-induced changes in CTE for N-channel CCDs and the effect on star tracker performance,"Hopkinson, GR",2000,,11
3878,,,10.1109/tns.2003.820735,Modeling of proton-induced CCD degradation in the Chandra X-Ray Observatory,"Lo, DH; Srour, None",2003,,13
3879,,,10.1088/1748-0221/10/08/p08009,Evaluation of commercial ADC radiation tolerance for accelerator experiments,"Chen, K.; Chen, H.; Kierstead, J.; Takai, H.; Rescia, S.; Hu, X.; Xu, H.; Mead, J.; Lanni, F.; Minelli, M.",2015,,0
3880,,,10.1109/tns.2002.805554,Evaluation and prediction of the degradation of a COTS CCD induced by displacement damage,"Germanicus, R; Barde, S; Dusseau, L; Rolland, G; Barillot, C; Saigne, F; Ecoffet, R; Calvel, P; Fesquet, J; Gasiot, J",2002,,17
3881,,,10.1007/s00411-010-0275-3,Radiation damage in charge-coupled devices,"Bassler, Niels",2010,,4
3882,,,10.1117/12.925548,Nuclear spallation by solar proton events and cosmic rays in the eROSITA and ATHENA focal plane configurations,"Perinati, E.; Tenzer, C.; Santangelo, A.; Dennerl, K.; Freyberg, M.",2012,,0
3883,,,,Impact of the border crossing effects on the DCNU for pixels arrays irradiated with high energy protons,"Ursule, M. C.; Inguimbert, C.; Nuns, T.",2015,,0
3884,,,10.1109/nssmic.2009.5402404,Comparison of Measurements of Charge Transfer Inefficiencies in a CCD with High-Speed Column Parallel Readout,"Sopczak, Andre; Aoulmit, Salim; Bekhouche, Khaled; Bowdery, Chris; Buttar, Craig; Damerell, Chris; Djendaoui, Dahmane; Dehimi, Lakhdar; Gao, Rui; Greenshaw, Tim; Koziel, Michal; Maneuski, Dzmitry; Nomerotski, Andrei; Sengouga, Nouredine; Stefanov, Konstantin; Tikkanen, Tuomo; Woolliscroft, Tim; Worm, Steve; Zhang, Zhige",2009,,0
3885,,,10.1109/tns.2008.919263,Dark current spectroscopy of irradiated CCD image sensors,"Tivarus, C.; McColgin, W. C.",2008,,7
3886,,,10.1109/tns.2003.821409,Comparison of CCD damage due to 10-and 60-MeV protons,"Hopkinson, GR; Mohammadzadeh, A",2003,,14
3887,,,10.1007/s11554-012-0285-2,VLSI implementation of star detection and centroid calculation algorithms for star tracking applications,"Azizabadi, Mohsen; Behrad, Alireza; Ghaznavi-Ghoushchi, M. B.",2014,,2
3888,,,10.1109/tasc.2003.812802,The performance of high-temperature superconductors-in space radiation environments,"James, MR; Maloy, SA",2003,,3
3889,,,10.1109/23.903794,Displacement damage effects in InGaAs detectors: Experimental results and semi-empirical model prediction,"Barde, S; Ecoffet, R; Costeraste, J; Meygret, A; Hugon, None",2000,,23
3890,,,10.1007/s11082-014-0089-7,Multistable defect characterization in proton irradiated single-photon avalanche diodes,"Karami, Mohammad Azim; Pil-Ali, Abdollah; Safaee, Mohammad Reza",2015,,0
3891,,,10.1109/tns.2010.2046751,Different Dose Rate Radiation Effects on Linear CCDs,"Wang Zujun, None; Tang Benqi, None; Xiao Zhigang, None; Liu Minbo, None; Zhang Yong, None; Huang Shaoyan, None; Chen Wei, None; Liu Yinong, None",2010,,4
3892,,,10.1111/j.1365-2966.2007.12800.x,Radiation effects on space-based stellar photometry: theoretical models and empirical results for CoRoT Space Telescope,"da Silva, L. Pinheiro; Rolland, G.; Lapeyrere, V.; Auvergne, M.",2008,,13
3893,,,10.1109/tns.2014.2298254,Proton Damage Comparison of an e2v Technologies n-channel and p-channel CCD204,"Gow, J. P. D.; Murray, N. J.; Holland, A. D.; Burt, D.",2014,,5
3894,,,10.7498/aps.64.024220,Analysis of ionizing and department damage mechanism in proton-irradiation-induced scientific charge-coupled device,"Wen Lin, None; Li Yu-Dong, None; Guo Qi, None; Ren Di-Yuan, None; Wang Bo, None; Maria, None",2015,,1
3895,,,10.1016/j.nimb.2010.06.013,Degradation of a COTS linear CCD induced by proton irradiation,"Wang Zujun, None; Liu Yinong, None; Chen Wei, None; Tang Benqi, None; Xiao Zhigang, None; Huang Shaoyan, None; Liu Minbo, None; Zhang Yong, None",2010,,4
3896,,,10.1109/tns.2006.886208,Electron-induced displacement damage effects in CCDs,"Becker, Heidi N.; Elliott, Tom; Alexander, James W.",2006,,3
3897,,,10.1016/j.nima.2014.02.035,Degradation of saturation output of the COTS array charge-coupled devices induced by total dose radiation damage,"Wang, Zujun; Chen, Wei; Huang, Shaoyan; Liu, Minbo; He, Baoping; Sheng, Jiangkun",2014,,6
3898,,,10.1051/0004-6361/201321607,Dark signal correction for a lukecold frame-transfer CCD New method and application to the solar imager of the PICARD space mission,"Hochedez, J. -F.; Timmermans, C.; Hauchecorne, A.; Meftah, M.",2014,,2
3899,,,10.1016/s0094-5765(99)00238-6,Radiation impacts on star-tracker performance and vision systems in space,"Jorgensen, JL; Thuesen, GG; Betto, M; Riis, T",2000,,3
3900,,,10.1117/12.871991,Ageing effects on image sensors due to terrestrial cosmic radiation,"Nampoothiri, Gayathri G.; Horemans, Marc L. R.; Theuwissen, Albert J. P.",2011,,1
3901,,,10.1109/tns.2004.839152,Limits to the application of NIEL for damage correlation.,"Messenger, None; Burke, EA; Summers, GP; Walters, RJ",2004,,13
3902,,,,Experimental analysis of charge transfer efficiency degradation of charge coupled devices induced by proton irradiation,"Wang Zu-Jun, None; Tang Ben-Qi, None; Xiao Zhi-Gang, None; Liu Min-Bo, None; Huang Shao-Yan, None; Zhang Yong, None",2010,,4
3903,,,10.1109/23.983134,A comparison of charge transfer efficiency measurement techniques on proton damaged n-channel CCDs for the Hubble Space Telescope wide-field camera 3,"Waczynski, A; Polidan, EJ; Marshall, PW; Reed, RA; Johnson, SD; Hill, RJ; Delo, GS; Wassell, EJ; Cheng, ES",2001,,22
3904,,,10.1093/rpd/nci103,Modelling radiation loads to detectors in a SNAP mission,"Mokhov, NV; Rakhno, IL; Striganov, SI; Peterson, TJ",2005,,0
3905,,,10.1016/s0026-2714(99)00225-5,An overview of radiation effects on electronics in the space telecommunications environment,"Fleetwood, DM; Winokur, PS; Dodd, PE",2000,,35
3906,,,10.1117/12.506346,Characterization of the flight CCD detectors for the GOES N and O solar X-ray imagers,"Stern, RA; Shing, L; Catura, P; Morrison, M; Duncan, D; Lemen, None; Eaton, T; Pool, P; Steward, R; Walton, D; Smith, A",2004,,11
3907,,,10.1016/j.nima.2016.07.046,Image analysis of single event transient effects on charge coupled devices irradiated by protons,"Wang, Zujun; Xue, Yuanyuan; Liu, Jing; He, Baoping; Yao, Zhibin; Ma, Wuying",2016,,0
3908,,,10.1007/s10686-005-9010-5,Detectors for space science - Future requirements and considerations for flight detectors,"Clampin, Mark; Lumb, David; Sirianni, Marco; Smith, Edward",2005,,0
